游戏地址,游戏名字,评分,评论1,评论2,游戏类型
http://www.4399.com/flash/240848.htm,数字大师,5,操作手感很好，玩起来很顺畅。,游戏设计很精巧，细节处理得很好。,模拟经营类
http://www.4399.com/flash/238398.htm,方块消成语,5,游戏中的隐藏内容很多，探索很有趣。,操作手感很好，玩起来很顺畅。,模拟经营类
http://www.4399.com/flash/236773.htm,火柴人精准投放,5,操作很简单，但很有趣。,游戏内容很丰富，玩法很多样。,模拟经营类
http://www.4399.com/flash/237513.htm,公主请找茬,5,游戏内购合理，不影响体验。,操作很简单，但很有趣。,模拟经营类
http://www.4399.com/flash/152162.htm,盗金父子2,5,画质超高，玩起来很舒服。,操作很简单，但很有趣。,模拟经营类
http://www.4399.com/flash/236035.htm,最强打砖块,5,游戏节奏很好，不会觉得拖沓。,任务系统很完善，玩起来很有动力。,模拟经营类
http://www.4399.com/flash/20660.htm,森林冰火人中文版,5,游戏节奏很好，不会觉得拖沓。,每次玩都能发现新的惊喜。,模拟经营类
http://www.4399.com/flash/17403.htm,青蛙祖玛,5,非常适合与朋友一起玩。,每次玩都能发现新的惊喜。,模拟经营类
http://www.4399.com/flash/57317.htm,激光炮轰小怪2,5,操作很简单，但很有趣。,音效很棒，增强了游戏体验。,模拟经营类
http://www.4399.com/flash/235242.htm,货物柜消一消,5,操作简单，但需要动脑，很有趣。,画风很可爱，玩起来很放松。,模拟经营类
